condition,fold,test_zone,geometry_seed,n_csi_repeats,test_nrmse_mean,theta_hat_mean,theta_abs_error_mean,test_squared_error_mean,test_truth_energy
D1,4,Z4-center,1,20,0.0682053168850871,0.6699580255673485,0.3300419744326516,0.0002867153302853971,0.0616324516384676
D1,4,Z4-center,2,20,0.037510278836237115,0.8700630758829575,0.1299369241170425,8.671993686057667e-05,0.0616324516384676
D1,4,Z4-center,3,20,0.08874101912799354,0.5369020294987876,0.4630979705012123,0.0004853656014179161,0.0616324516384676
D1,4,Z4-center,4,20,0.025475862084957345,1.0150339322078783,0.015033932207878098,4.000068686164602e-05,0.0616324516384676
D2,0,Z0-south,0,20,0.17303538292198492,0.5155800249614776,0.4844199750385224,0.0006524378582875915,0.021790339513437923
D2,0,Z0-south,1,20,0.08253794537245009,0.83160192801321,0.16839807198678997,0.00014845228568544132,0.021790339513437923
D2,0,Z0-south,2,20,0.143984700845906,0.6306355696832253,0.3693644303167748,0.0004517533500921207,0.021790339513437923
D2,0,Z0-south,3,20,0.1421433793897648,0.594775215215949,0.405224784784051,0.0004402721302414943,0.021790339513437923
D2,0,Z0-south,4,20,0.11865945317488691,0.7185462156044493,0.2814537843955507,0.0003068170482338065,0.021790339513437923
D2,1,Z1-east,0,20,0.2774205655941444,0.955222125284833,0.044777874715167004,0.024566831011097502,0.3192063287804825
D2,1,Z1-east,1,20,0.19693477819875418,0.9734354403949229,0.02656455960507697,0.012379883018273894,0.3192063287804825
D2,1,Z1-east,2,20,0.25482335162398023,0.8892263072908315,0.11077369270916852,0.020727650374714798,0.3192063287804825
D2,1,Z1-east,3,20,0.243411985466355,0.8784123295351438,0.121587670464856,0.01891280272603022,0.3192063287804825
D2,1,Z1-east,4,20,0.258893798831542,0.9801431966151319,0.01985680338486801,0.02139512620590929,0.3192063287804825
D2,2,Z2-north,0,20,0.06925010757592136,0.5028246091711568,0.49717539082884327,0.0008924198584201622,0.18609049674489903
D2,2,Z2-north,1,20,0.028316667248727452,0.8247974317648294,0.17520256823517058,0.00014921777315300518,0.18609049674489903
D2,2,Z2-north,2,20,0.05295462127312909,0.6209022513273668,0.37909774867263313,0.0005218408704843727,0.18609049674489903
D2,2,Z2-north,3,20,0.057897229507181104,0.5913983811251134,0.40860161887488655,0.0006237965846267667,0.18609049674489903
D2,2,Z2-north,4,20,0.044579758620743815,0.6913056163575799,0.3086943836424201,0.00036983771308843046,0.18609049674489903
D2,3,Z3-west,0,20,5.468818244327961,0.5579241115075967,0.4420758884924033,0.0020780225783680563,6.94805550797447e-05
D2,3,Z3-west,1,20,0.4861222974927153,0.8485015319469295,0.15149846805307057,1.6419552638389416e-05,6.94805550797447e-05
D2,3,Z3-west,2,20,0.6051189590496862,0.6722158054182159,0.3277841945817841,2.54418841785159e-05,6.94805550797447e-05
D2,3,Z3-west,3,20,4.371108281079847,0.625720148945622,0.37427985105437794,0.0013275363165928498,6.94805550797447e-05
D2,3,Z3-west,4,20,3.1962854154279237,0.7551965466041869,0.24480345339581316,0.000709830111504768,6.94805550797447e-05
D2,4,Z4-center,0,20,0.09150321187168844,0.5268296798800592,0.47317032011994076,0.0005160428616075938,0.0616324516384676
D2,4,Z4-center,1,20,0.05055681585979381,0.8418743227229026,0.1581256772770973,0.0001575325310694893,0.0616324516384676
D2,4,Z4-center,2,20,0.07392377137422103,0.6432768652675513,0.35672313473244843,0.0003368085001601716,0.0616324516384676
D2,4,Z4-center,3,20,0.07764475148658709,0.6031019512466792,0.3968980487533208,0.0003715673360057773,0.0616324516384676
D2,4,Z4-center,4,20,0.06444272198633469,0.7331986503452029,0.2668013496547971,0.00025595625833414634,0.0616324516384676
D3,0,Z0-south,0,20,0.09386701841074072,0.7568147141175475,0.24318528588245236,0.0001920019020755336,0.021790339513437923
D3,0,Z0-south,1,20,0.06835883285402741,0.8344452711534679,0.16555472884653216,0.00010182819106626309,0.021790339513437923
D3,0,Z0-south,2,20,0.12628033649113327,0.6632021984728238,0.3367978015271761,0.00034749372778969016,0.021790339513437923
D3,0,Z0-south,3,20,0.0518966487905288,0.9517254763866856,0.04827452361331447,5.8687177914307394e-05,0.021790339513437923
D3,0,Z0-south,4,20,0.031054460303760377,0.9660014122140892,0.03399858778591078,2.1015231195486724e-05,0.021790339513437923
D3,1,Z1-east,0,20,0.20469996590987152,0.8826605799589025,0.11733942004109765,0.013375411144956138,0.3192063287804825
D3,1,Z1-east,1,20,0.20950624413084107,0.9972182868416434,0.0028954414602586796,0.0140108855433693,0.3192063287804825
D3,1,Z1-east,2,20,0.2430118380980401,0.9526325612061537,0.04736743879384616,0.018850668378571807,0.3192063287804825
D3,1,Z1-east,3,20,0.1103161923447287,0.9760632987348711,0.02393670126512896,0.0038846343775821744,0.3192063287804825
D3,1,Z1-east,4,20,0.11134173819156037,0.984654260843984,0.015345739156016175,0.0039571955321825985,0.3192063287804825
D3,2,Z2-north,0,20,0.04104250027478206,0.7607776606186838,0.23922233938131607,0.00031346827058916323,0.18609049674489903
D3,2,Z2-north,1,20,0.026923938503633855,0.8263446541891142,0.17365534581088574,0.0001349093094484052,0.18609049674489903
D3,2,Z2-north,2,20,0.053366487485742034,0.6534674927095745,0.3465325072904256,0.0005299901450658644,0.18609049674489903
D3,2,Z2-north,3,20,0.011532607240636273,0.9454267526726111,0.054573247327388684,2.4756287753507716e-05,0.18609049674489903
D3,2,Z2-north,4,20,0.014084312420753553,0.9652965225148611,0.03470347748513888,3.6914828661064855e-05,0.18609049674489903
D3,3,Z3-west,0,20,4.3797457757623075,0.774680099735532,0.22531990026446808,0.0013327880345904188,6.94805550797447e-05
D3,3,Z3-west,1,20,3.0405121164921973,0.8518919625850613,0.1481080374149388,0.000642327881372162,6.94805550797447e-05
D3,3,Z3-west,2,20,0.5670837096957912,0.6959643489096096,0.3040356510903903,2.2344084677324256e-05,6.94805550797447e-05
D3,3,Z3-west,3,20,3.0374251605664115,0.949814935966004,0.05018506403399612,0.0006410242628722776,6.94805550797447e-05
D3,3,Z3-west,4,20,5.193536450232086,0.966528158022378,0.03347184197762197,0.0018740865698020903,6.94805550797447e-05
D3,4,Z4-center,0,20,0.05965315121722773,0.7687705979682512,0.23122940203174883,0.00021931947905115293,0.0616324516384676
D3,4,Z4-center,1,20,0.04310051682079237,0.84308179692226,0.15691820307773988,0.00011449423023247277,0.0616324516384676
D3,4,Z4-center,2,20,0.07262350885848877,0.6778538513522034,0.32214614864779667,0.000325062151481305,0.0616324516384676
D3,4,Z4-center,3,20,0.06120744602516979,0.9566361771773764,0.0433638228226237,0.000230896977712812,0.0616324516384676
D3,4,Z4-center,4,20,0.0526106223799126,0.9727641602565182,0.02723583974348174,0.0001705913879618562,0.0616324516384676
D4,0,Z0-south,0,20,0.09189366632219632,0.7750324531526995,0.22496754684730025,0.00018401043921518538,0.021790339513437923
D4,0,Z0-south,1,20,0.12451191388937932,0.6686090237855689,0.3313909762144312,0.0003378326414512716,0.021790339513437923
D4,0,Z0-south,2,20,0.12139845464189544,0.6916653607284218,0.3083346392715782,0.000321141143164472,0.021790339513437923
D4,0,Z0-south,3,20,0.0386288018744855,0.9964061714567414,0.0035938285432585205,3.2515388903731494e-05,0.021790339513437923
D4,0,Z0-south,4,20,0.09643184760853034,0.7876728251591834,0.21232717484081665,0.0002026347563963706,0.021790339513437923
D4,1,Z1-east,0,20,0.20931100090849522,0.9013615321306594,0.0986384678693407,0.013984781211687012,0.3192063287804825
D4,1,Z1-east,1,20,0.26083537390413697,0.9953371270070488,0.00466287299295125,0.021717238123086385,0.3192063287804825
D4,1,Z1-east,2,20,0.23081605432373403,0.963521828628217,0.03647817137178299,0.017006071343361333,0.3192063287804825
D4,1,Z1-east,3,20,0.05134971695853069,0.9539496954233366,0.04605030457666324,0.0008416989726753241,0.3192063287804825
D4,1,Z1-east,4,20,0.23742074938639063,0.977810868953268,0.02218913104673223,0.017993220927940888,0.3192063287804825
D4,2,Z2-north,0,20,0.05060267422959961,0.7774121788875414,0.22258782111245842,0.0004765097588214235,0.18609049674489903
D4,2,Z2-north,1,20,0.05008588091502386,0.6465531048234097,0.3534468951765904,0.00046683961301082226,0.18609049674489903
D4,2,Z2-north,2,20,0.04795683931688603,0.6833194931336919,0.31668050686630805,0.0004279873806560543,0.18609049674489903
D4,2,Z2-north,3,20,0.02724327331144973,1.0007077025570603,0.0012174646797038224,0.00013811621643790585,0.18609049674489903
D4,2,Z2-north,4,20,0.03458600753799136,0.7761086528188421,0.22389134718115794,0.00022260537444150188,0.18609049674489903
D4,3,Z3-west,0,20,4.319396649253148,0.7869313578922781,0.21306864210772197,0.0012963117691039638,6.94805550797447e-05
D4,3,Z3-west,1,20,0.6541678723142953,0.7170850568487181,0.28291494315128174,2.973366263093386e-05,6.94805550797447e-05
D4,3,Z3-west,2,20,0.5527222964397857,0.7205389045294947,0.27946109547050535,2.1226713423526567e-05,6.94805550797447e-05
D4,3,Z3-west,3,20,4.312945505009379,0.9920161740829553,0.007983825917044607,0.0012924424818917407,6.94805550797447e-05
D4,3,Z3-west,4,20,5.323631469275329,0.8135982782152091,0.18640172178479092,0.0019691520279726143,6.94805550797447e-05
D4,4,Z4-center,0,20,0.060922586179735394,0.7850937691484043,0.21490623085159574,0.00022875326091003584,0.0616324516384676
D4,4,Z4-center,1,20,0.06489308871600287,0.6819738788445099,0.31802612115549017,0.00025954572036877746,0.0616324516384676
D4,4,Z4-center,2,20,0.06815681931179725,0.7014718312148162,0.2985281687851839,0.00028630652304521863,0.0616324516384676
D4,4,Z4-center,3,20,0.049371665093672835,1.0052171073898903,0.0052171073898900746,0.0001502350271956243,0.0616324516384676
D4,4,Z4-center,4,20,0.05602869662591453,0.800974863561912,0.1990251364380879,0.00019348006925464385,0.0616324516384676
D5,0,Z0-south,0,20,0.12504215494041396,0.6623651051382613,0.33763489486173875,0.0003407067238308595,0.021790339513437923
D5,0,Z0-south,1,20,0.3983871864150757,0.6654849637720365,0.3345150362279636,0.0034584004252179836,0.021790339513437923
D5,0,Z0-south,2,20,0.15410008721939814,0.5857037877739122,0.41429621222608776,0.0005174547265585739,0.021790339513437923
D5,0,Z0-south,3,20,0.40394648233653047,0.9771330407447028,0.02286695925529732,0.0035555900706188844,0.021790339513437923
D5,0,Z0-south,4,20,0.11974437480084266,0.7014390199269493,0.2985609800730506,0.0003124507290056384,0.021790339513437923
D5,1,Z1-east,0,20,0.22697687234068722,0.8885288758683524,0.11147112413164766,0.01644504064353384,0.3192063287804825
D5,1,Z1-east,1,20,0.2684353639990018,1.0895544873359209,0.08955448733592078,0.023001231528801562,0.3192063287804825
D5,1,Z1-east,2,20,0.25189489215148436,0.9494369894318055,0.05056301056819453,0.02025401760593161,0.3192063287804825
D5,1,Z1-east,3,20,0.04896471292424671,0.9473467879876202,0.052653212012379914,0.0007653336761269232,0.3192063287804825
D5,1,Z1-east,4,20,0.2495755979222083,0.9494686015980338,0.05053139840196634,0.019882720542461547,0.3192063287804825
D5,2,Z2-north,0,20,0.058031961657784084,0.6580335965262855,0.34196640347371454,0.0006267009639174743,0.18609049674489903
D5,2,Z2-north,1,20,0.04405184381886336,0.6941768337369679,0.305823166263032,0.0003611330151558388,0.18609049674489903
D5,2,Z2-north,2,20,0.060060998797119,0.5738620557574887,0.4261379442425112,0.0006712943753168489,0.18609049674489903
D5,2,Z2-north,3,20,0.02736435339976117,1.0019231835309037,0.0019375683696185309,0.00013934667445551256,0.18609049674489903
D5,2,Z2-north,4,20,0.046193966592832245,0.6837405251242854,0.3162594748757147,0.0003971010065386722,0.18609049674489903
D5,3,Z3-west,0,20,4.381288736002712,0.6817515789323758,0.31824842106762424,0.0013337272867819092,6.94805550797447e-05
D5,3,Z3-west,1,20,3.7449866532290144,0.7561964937610511,0.24380350623894884,0.0009744596259040744,6.94805550797447e-05
D5,3,Z3-west,2,20,0.7108518758900904,0.6152656939480554,0.38473430605194464,3.510937897131421e-05,6.94805550797447e-05
D5,3,Z3-west,3,20,5.076622473386893,0.9932004376610788,0.0067995623389213,0.0017906595235833232,6.94805550797447e-05
D5,3,Z3-west,4,20,5.336505672123051,0.7384326550910061,0.261567344908994,0.0019786875933245503,6.94805550797447e-05
D5,4,Z4-center,0,20,0.07705783030754068,0.6718648134549313,0.3281351865450687,0.0003659692431083402,0.0616324516384676
D5,4,Z4-center,1,20,0.07337375147559047,0.7323304237043144,0.26766957629568555,0.0003318127433930546,0.0616324516384676
D5,4,Z4-center,2,20,0.08230867633117528,0.5940559927905988,0.4059440072094011,0.0004175444014370061,0.0616324516384676
D5,4,Z4-center,3,20,0.36469005502683427,1.0305113842983147,0.030511384298314747,0.008197044793982335,0.0616324516384676
D5,4,Z4-center,4,20,0.0666117572883386,0.7208303514366026,0.27916964856339743,0.0002734746201146105,0.0616324516384676
