condition,fold,test_zone,repeat_in_fold,geometry_seed,theta_hat,theta_abs_error,test_nrmse,amplitude_rms_db,phase_rms_deg,test_squared_error,test_truth_energy,theta_lower_bound,theta_upper_bound
D0,0,Z0-south,97,2,0.9998193289463451,0.00018067105365493497,6.93120152969248e-05,0.00044444175050431224,0.0024774019264161076,1.0468417864725364e-10,0.021790339513437923,0,0
D0,0,Z0-south,98,3,0.9991329683744369,0.0008670316255631194,0.0003325618604801043,0.0021324119404636447,0.01188645022128423,2.4099547001925455e-09,0.021790339513437923,0,0
D0,0,Z0-south,99,4,0.9999636853101517,3.6314689848326864e-05,1.3932197782920695e-05,8.933621897320331e-05,0.0004979770248922522,4.229638584651376e-12,0.021790339513437923,0,0
D1,0,Z0-south,0,0,0.7402407892261947,0.25975921077380526,0.0933308569475831,0.5822507526665363,3.460609211723555,0.00018980799601058565,0.021790339513437923,0,0
D1,0,Z0-south,1,1,0.6541232352797928,0.34587676472020723,0.1220454304245582,0.7834652721501666,4.345622026068887,0.00032456900471919186,0.021790339513437923,0,0
D1,0,Z0-south,2,2,0.8611715228528368,0.13882847714716318,0.05946910762484476,0.4133096848015062,1.8550560845723034,7.706316477199792e-05,0.021790339513437923,0,0
D1,0,Z0-south,3,3,0.510717050841313,0.489282949158687,0.16584804500311265,1.0561716429298913,5.947632003210001,0.0005993557966552155,0.021790339513437923,0,0
D1,0,Z0-south,4,4,1.0169099794066745,0.01690997940667449,0.022279867683966992,0.1965883271481582,0.27966561550066077,1.081656119441412e-05,0.021790339513437923,0,0
D1,0,Z0-south,5,0,0.7402680230978098,0.2597319769021902,0.0933219573866606,0.5821943915092623,3.460294174106142,0.00018977179946547422,0.021790339513437923,0,0
D1,0,Z0-south,6,1,0.6573859285106374,0.3426140714893626,0.12100057716517147,0.7768230371150512,4.30831583587388,0.0003190354043667635,0.021790339513437923,0,0
D1,0,Z0-south,7,2,0.8644495704022688,0.13555042959773123,0.05842246059610106,0.40702625147601595,1.8139072268736114,7.437443604862482e-05,0.021790339513437923,0,0
