group,repeat,depth_repeat,theta_hat,theta_abs_error,test_complex_nrmse,test_amplitude_rms_db,test_phase_rms_deg,theta_ci_covers_truth
SIM-A,168,,1.0029321733786696,0.002932173378669578,0.0005127520281928494,0.0025057528967126247,0.023466570790951647,1
SIM-A,169,,0.993772561170948,0.006227438829051968,0.001084624217717581,0.005299302581826501,0.049632220509170655,1
SIM-A,170,,1.000811424696448,0.0008114246964479044,0.00014176235982920008,0.0006927380807319681,0.0064876913143712585,1
SIM-A,171,,0.9972036648932191,0.0027963351067809006,0.0004877680597692152,0.0023833343649767445,0.022321323859003157,1
SIM-A,172,,1.00287922068871,0.002879220688710049,0.0005034804124036481,0.0024604404294605196,0.0230422296489099,1
SIM-A,173,,1.0073773425135153,0.007377342513515295,0.0012926092922366929,0.00631755133026984,0.05916106892000637,0
SIM-A,174,,0.9985172873027718,0.0014827126972282167,0.0002587806493942939,0.0012644928991945431,0.011842590608398451,1
SIM-A,175,,1.0000935062328202,9.350623282022852e-05,1.6331128902641734e-05,7.980256545308784e-05,0.0007473791828615567,1
SIM-A,176,,0.9979337613943939,0.0020662386056060633,0.0003605320790541294,0.0017616624574564573,0.01649890579878957,1
SIM-A,177,,1.004939114475146,0.004939114475146056,0.0008644707538859546,0.004224774405521739,0.03956440474016704,1
SIM-A,178,,0.9985029864771989,0.0014970135228010717,0.00026127495765029173,0.0012766805419506268,0.011956735267920729,1
SIM-A,179,,0.9998414455543916,0.00015855444560841647,2.7688915839059097e-05,0.00013530193143684367,0.001267153336829081,1
SIM-A,180,,1.0050007848562879,0.005000784856287854,0.0008752883944665633,0.004277648437930665,0.04005953180501526,1
SIM-A,181,,1.0047895035629768,0.004789503562976805,0.0008382298477058705,0.004096515888132438,0.03836335300596617,1
SIM-A,182,,0.9999212075430028,7.879245699715653e-05,1.3760284000238391e-05,6.72397769547425e-05,0.0006297252607823591,1
SIM-A,183,,1.0020627025717648,0.002062702571764774,0.00036056890595846495,0.0017620153851831877,0.016501568024493908,1
SIM-A,184,,1.0019206007392651,0.0019206007392651436,0.0003357079406478992,0.0016405199330281586,0.015363766060439647,1
SIM-A,185,,0.999464355848875,0.0005356441511249477,9.352590376693498e-05,0.00045701040870679225,0.0042800887941067565,1
SIM-A,186,,1.0027202741779395,0.002720274177939519,0.00047565267269541865,0.0023244407629677845,0.02176861989641525,1
SIM-A,187,,1.0016199135566874,0.0016199135566874467,0.0002831124298596487,0.0013834887086517104,0.012956663037569037,1
SIM-A,188,,1.0008528842521058,0.0008528842521058344,0.00014900839061146083,0.0007281473736854052,0.006819306714205083,1
SIM-A,189,,1.003798351890759,0.003798351890758944,0.0006644746532450984,0.003247273163908791,0.03041066413321768,1
SIM-A,190,,1.000693350954141,0.0006933509541409144,0.00012112764830794407,0.0005919025018282676,0.005543343598357811,1
SIM-A,191,,0.9973300531187758,0.002669946881224239,0.0004657478692610197,0.002275745678345709,0.02131367171813175,1
SIM-A,192,,0.9986421158748078,0.0013578841251922213,0.00023700708287665355,0.001158102965369244,0.010846185539932562,1
SIM-A,193,,0.9968784496686087,0.0031215503313912762,0.0005444179594303421,0.002660118004038201,0.024913627005958453,1
SIM-A,194,,0.9986823160409718,0.0013176839590282041,0.0002299945498975747,0.0011238382193742228,0.010525276228599775,1
SIM-A,195,,0.9990484380700955,0.0009515619299045319,0.00016611667100519152,0.0008117142425965971,0.007602063245928512,1
SIM-A,196,,0.9955935402794635,0.0044064597205365486,0.0007680806587191454,0.003752865754032096,0.03514819993055537,1
SIM-A,197,,1.0001203489655577,0.00012034896555768171,2.1019536364347918e-05,0.00010271267892813565,0.0009619402336844187,1
SIM-A,198,,1.0012527254179742,0.0012527254179741654,0.00021890358128501876,0.0010697089928683595,0.010018087828029374,1
SIM-A,199,,1.000243079799588,0.00024307979958804182,4.2457368268483685e-05,0.0002074699809376425,0.0019430268016752189,1
SIM-B,0,,0.500000000000005,0.499999999999995,0.8860970497255789,16.830492201171335,75.22452583657827,0
SIM-B,1,,0.500000000000005,0.499999999999995,0.8860970497255789,16.830492201171335,75.22452583657827,0
SIM-B,2,,0.5000000000000111,0.4999999999999889,0.8860970497255788,16.83049220117134,75.22452583657827,0
SIM-B,3,,0.5000000000000111,0.4999999999999889,0.8860970497255788,16.83049220117134,75.22452583657827,0
SIM-B,4,,0.5000000000000027,0.49999999999999734,0.8860970497255789,16.830492201171335,75.22452583657827,0
SIM-B,5,,0.5000000000000111,0.4999999999999889,0.8860970497255788,16.83049220117134,75.22452583657827,0
SIM-B,6,,0.5000000000000111,0.4999999999999889,0.8860970497255788,16.83049220117134,75.22452583657827,0
SIM-B,7,,0.5000000000000027,0.49999999999999734,0.8860970497255789,16.830492201171335,75.22452583657827,0
SIM-B,8,,0.5000000000000073,0.4999999999999927,0.8860970497255789,16.830492201171335,75.22452583657827,0
